Country Name,Country Code,Access to clean fuels and technologies for cooking (% of population),"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, urban (% of urban population)",Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Adequacy of social insurance programs (% of total welfare of beneficiary households),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),Adjusted net national income per capita (current US$),Adjusted savings: education expenditure (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adolescents out of school (% of lower secondary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment, total (% of children ages 7-14)","Children in employment, work only (% of children in employment, ages 7-14)",Children out of school (% of primary school age),"Children out of school, female (% of female primary school age)","Children out of school, male (% of male primary school age)","Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male","Community health workers (per 1,000 people)",Compensation of employees (% of expense),Compensation of employees (current LCU),"Compulsory education, duration (years)",Control of Corruption: Estimate,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)",Multidimensional poverty headcount ratio (World Bank) (% of population),Multilateral debt service (% of public and publicly guaranteed debt service),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Proportion of people living below 50 percent of median income (%),"School enrollment, primary (gross), gender parity index (GPI)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, tertiary (gross), gender parity index (GPI)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Terms of trade adjustment (constant LCU),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population),"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",Wanted fertility rate (births per woman),Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),Composite Index,Rank
Guyana,GUY,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424865.6322656,-3563424868.582266,-3563424857.7322655,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839418840.0297246,2937475183.132194,-3563424868.243307,9433856870.314997,11780614209.932703,11780614209.394688,59.01746203125,7.731500624999999,51.285961405,-3563424924.3701406,10634941975.708954,32255922497.50681,32255922467.409855,32255922467.58057,27466526746.729168,12928341250.26005,12928341249.689735,27466528643.26045,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,6.0,-2879550211.1017213,2839415538.6359525,2839415706.2106786,-3563424942.6913986,-3563424938.4959626,-3563424939.9446445,34789351388.702866,34974443503.76704,34974443495.60396,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424882.309029,-3563424857.1723647,-3563424864.6766324,-2750398410.421551,-2879550211.008516,32608364074.111324,7154729322.57531,33522626069.538822,34535880793.38163,34336440389.11592,22143202162.532925,624846228706.2396,7508025424.929173,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,27.157541666666663,-3563424886.1317043,-3563424885.1065955,-3563424885.4140987,22863314617.534653,24892153482.812508,24892153489.537506,2.46002717927266,46.0
Jamaica,JAM,-3563424867.1822658,-3563424874.496849,-3563424858.176016,-3563424856.7489324,-3563424860.940599,-3563424853.082266,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839419318.3090816,3459907320.416361,-3563424895.036307,29309900670.50511,29309900670.119736,29309900670.878468,47.862677502083336,9.120174310375,38.74250319041668,-3563424930.828224,14932679125.58993,32255922497.50681,32255922467.409855,32255922467.58057,25435287635.18973,25435287635.219395,25435287635.161133,25435301267.14229,25435294373.01729,25435294524.933956,33968147167.149223,7508025452.669063,116469636044.97333,6.0,-2879550210.903416,2839415539.8494077,2839415768.362057,-3563424943.460768,-3563424941.7125125,-3563424942.475926,17758462922.317337,17758462924.199184,16892824232.17639,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424924.4024844,-3563424857.690096,-3563424864.2167983,-2750398410.421551,-2879550210.6818614,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,30328737967.554688,22143202162.532925,-1003861529.3551579,7508025422.802925,2288933817.504708,2288933817.705581,2288933820.5835843,-3563424936.6703906,54.25654166666666,-3563424881.335418,-3563424892.111876,-3563424887.4194665,22863314617.534653,24892153482.812508,24892153489.537506,2.4102824034499757,47.0
Fiji,FJI,-3563424910.0176826,-3563424929.5218487,-3563424892.8968487,-3563424860.6655993,-3563424867.4780993,-3563424854.0530987,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839418690.0025716,2984968085.1459446,-3563424910.3036823,5888197437.864558,22886486114.66383,22886486115.332493,55.13920407458334,6.905698936916665,48.233505137916666,-3563424924.2350574,17905363873.369247,32255922497.50681,32255922467.409855,32255922467.58057,6315931427.730461,24110345863.871693,24110345863.88904,6315937608.627248,24110348667.057327,24110348842.723995,33968147167.149223,4718308967.499552,5246610328.014855,687309313.2447337,-2879550210.3967266,2839415538.1278996,2839415673.718453,-3563424944.487833,-3563424944.403816,-3563424944.433762,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424905.615353,-3563424854.3730874,-3563424858.1448026,-3563424906.741837,-2879550210.3570156,24130415469.000496,7154729322.57531,4375787709.98537,10206467279.36381,7317391794.169072,22143202162.532925,624846228706.2396,7508025422.513759,5150089740.478618,4903608270.691173,5135914276.179225,30070480443.854954,53.06925000000001,-3563424887.5137806,-3563424886.826569,-3563424887.070352,22863314617.534653,24892153482.812508,24892153489.537506,2.4101414533055276,48.0
India,IND,-3563424905.471849,-3563424923.0260158,-3563424875.207266,-3563424869.1739326,-3563424875.5530987,-3563424854.2405987,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416541.6183324,49153672338.25387,-3563424902.9328904,9433856870.314997,11780614209.932703,11780614209.394688,55.51304736541667,8.473861505041667,47.03918586041667,-3563424925.3308907,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,5947193145.642957,15497461174.064606,15497461172.679747,5951634333.3863325,15499943305.114985,15499324486.216547,33180804837.518314,15057012769.692469,909360346095.9369,4204729693.754069,-2879550211.038757,2839415538.175945,2839415574.920528,-3563424945.0922847,-3563424943.7787824,-3563424944.1133027,32356136095.784824,32356136099.229984,32356136093.830826,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424920.066793,-3563424862.4513288,-3563424901.5263267,-2750398410.421551,-2879550211.652385,24130415469.000496,15150484852.773039,4075062836.452843,2839415535.7623477,2611680350.3560486,22143202162.532925,-419903197713.5417,7508025423.280006,19178929972.79323,19178929969.176937,19178929971.093937,19178929969.513145,31.653750000000002,-3563424930.4911876,-3563424925.9743543,-3563424927.1427455,22863314617.534653,24892153482.812508,24892153489.537506,2.4043165089494427,49.0
Papua New Guinea,PNG,-3563424938.113516,-3563424942.886432,-3563424908.515599,-3563424929.653099,-3563424936.6614323,-3563424882.582266,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416764.0327306,3732687597.570528,-3563424881.3943486,9433856870.314997,11780614209.932703,11780614209.394688,66.90962865083334,4.478477433458333,62.431151217916664,-3563424916.912849,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,6830708244.656833,7877580095.566686,687309313.2447337,-2879550211.551819,2839415537.1232853,2839415576.2549915,-3563424944.054445,-3563424942.5019326,-3563424943.246285,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424897.033812,-3563424907.8347707,-3563424927.654186,-2750398410.421551,-2879550211.245048,24130415469.000496,7154729322.57531,29903713021.636154,14487319854.167421,7317391794.169072,22143202162.532925,624846228706.2396,7508025421.496257,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,13.16016666666667,-3563424933.3968835,-3563424920.859598,-3563424926.8692927,22863314617.534653,24892153482.812508,24892153489.537506,2.314946775681321,50.0
Nepal,NPL,-3563424923.636432,-3563424934.153099,-3563424891.001015,-3563424882.1822658,8654172329.946611,-3563424857.269766,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416109.658106,3341482647.9538608,-3563424864.0318074,9433856870.314997,11780614209.932703,11780614209.394688,67.28280756333334,8.24122094479167,59.04158662041667,-3563424922.811932,25172691809.037785,32255922497.50681,32255922467.409855,32255922467.58057,18586162732.777245,12928341250.26005,12928341249.689735,18586287401.149357,12805986176.538532,12805972596.89003,33968147167.149223,7780713451.409101,52465407891.04419,14684416350.800184,-2879550211.309156,2839415538.916361,2839415563.295528,-3563424945.27726,-3563424944.1040154,-3563424944.481998,27547163998.610992,27547163984.138916,27547163976.555027,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424870.993681,-3563424863.155373,-3563424900.99672,-3563424921.131748,-2879550211.7826943,25048358104.41998,7154729322.57531,180094972.39946556,55761261.90251032,2483931220.4036527,22143202162.532925,3521929466.560694,7508025420.665009,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,17.45379166666667,-3563424939.694292,-3563424922.692948,-3563424928.163791,22863314617.534653,24892153482.812508,24892153489.537506,2.3041951204043816,51.0
Bangladesh,BGD,-3563424930.9280987,-3563424941.8114324,-3563424902.159349,-3563424884.9364324,-3563424894.7947655,-3563424860.6822658,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416484.002705,5364091364.528861,-3563424844.668224,20619242365.658268,11780614209.932703,11780614209.394688,58.02637190708333,7.389693505958333,50.636678401666664,-3563424924.404057,16643478893.874533,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,3667578161.6502795,226242019433.02292,5.0,-2879550211.6865497,2839415536.9176235,2839415558.373569,-3563424945.273287,-3563424943.9061103,-3563424944.320145,34677793910.93572,31563005019.44075,30879130271.210934,7658124659.387105,7658124662.981914,7658124661.17748,6829962020.195251,5822313224.307187,6829962068.923694,6829962069.716151,8120556991.115447,-3563424886.281378,-3563424852.9384856,-3563424905.1606975,-3563424891.6810074,-2879550211.827864,24268277015.22333,7154729322.57531,20296168296.672623,5435897414.966086,-2379384932.102774,22143202162.532925,23159022917.449337,7508025419.98055,5150089740.478618,4903608270.691173,5135914276.179225,22846089981.265987,31.741458333333327,-3563424922.0220146,-3563424904.7840266,-3563424909.4377556,22863314617.534653,24892153482.812508,24892153489.537506,2.283624241258553,52.0
Kuwait,KWT,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,11382665155.542322,14778547240.777853,-3563424934.591182,28434510645.14954,29057264736.74468,29057264737.890003,34.6705455575,3.338952344374999,31.331593212916662,-3563424927.9644737,13079767983.206314,32255922497.50681,32255922467.409855,32255922467.58057,27432979645.548355,12928341250.26005,12928341249.689735,27432983024.707706,12805986176.538532,12805972596.89003,33968147167.149223,26516925202.62717,28677341850.468815,9.0,-2879550210.534617,2839415537.9643764,2839416524.862589,-3563424945.2182655,-3563424944.897693,-3563424944.9829106,25352810712.96977,25485332453.60962,25410192641.42048,21145910981.023815,21145910982.135372,21145910981.743362,21145910938.705673,21145910983.667744,21145910983.593143,21145910983.62399,8120556991.115447,-2877346213.7682605,-3563424849.703099,-3563424849.703099,-3563424849.703099,-2879550210.453033,24130415469.000496,7154729322.57531,2839415535.882078,25870526524.59267,14000952915.533508,22143202162.532925,15395343209.609838,7508025419.97334,5150089740.478618,4903608270.691173,5135914276.179225,28536570235.472775,99.9545,-3563424850.1531854,-3563424852.075376,-3563424851.583404,22863314617.534653,24892153482.812508,24892153489.537506,2.276182665364304,53.0
Cameroon,CMR,-3563424926.7239323,-3563424943.0489326,-3563424910.719765,-3563424893.440599,-3563424927.5405993,-3563424862.6864324,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416504.626106,3516457172.783028,-3563424825.3075156,10054638387.93693,10054638389.215515,10054638386.664108,87.39270700416665,5.582920354333333,81.80978664875,-3563424908.300057,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,3415148434.530901,12928341250.26005,12928341249.689735,3415304382.754343,12805986176.538532,12805972596.89003,33968147167.149223,10725865995.227213,398934782646.12225,6.0,-2879550211.7269874,2839415538.3481984,2839415579.795387,-3563424943.902717,-3563424942.0487037,-3563424942.927288,32154868126.585556,34212106695.530186,32279201828.221012,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,26994243708.641804,12513580241.240398,12513580240.959106,8120556991.115447,-3563424919.569677,-3563424884.7510295,-3563424906.723411,-2750398410.421551,-2879550211.4168687,24130415469.000496,7154729322.57531,13439877019.579084,3667578142.086716,16569050104.433474,22143202162.532925,-97973255299.08333,7508025429.898758,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,52.45433333333333,-3563424933.8859982,-3563424917.262697,-3563424925.1570306,22863314617.534653,24892153482.812508,24892153489.537506,2.1928381862067057,54.0
Libya,LBY,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424867.773932,32457547009.76266,-3563424849.711432,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,4351458985.404574,5385251839.103089,-3563424939.0824323,9433856870.314997,11780614209.932703,11780614209.394688,54.28845796875,6.6159432195,47.672514750000005,-3563424924.832682,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,9.0,-2879550211.8509483,34601792444.02206,34601792573.91606,-3563424944.4838367,-3563424943.3733025,-3563424943.72619,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424856.0055885,-3563424857.894837,-2750398410.421551,-2879550211.6166396,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,-3097139450.684906,7508025419.98305,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,78.61520833333334,-3563424858.389942,-3563424864.1797795,-3563424862.320482,22863314617.534653,24892153482.812508,24892153489.537506,2.1833751848708904,55.0
Zimbabwe,ZWE,-3563424915.707266,-3563424940.3530993,-3563424867.1510158,-3563424907.153099,-3563424928.815599,-3563424863.453099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416209.6867213,3094687158.143028,-3563424846.7988906,2444132104.9338984,11780614209.932703,11780614209.394688,82.6759569525,5.6206076229166655,77.05534933041666,-3563424912.505057,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,2444132099.356343,13515582464.76622,13515582463.96437,2444285175.445972,13515657139.789078,13515645815.080744,33968147167.149223,23915462911.622562,24541022018.75513,7.0,-2879550211.8757596,7780713443.446078,7780713485.126826,-3563424944.9932666,-3563424944.1994762,-3563424944.599693,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424921.802963,-3563424881.2531905,-3563424906.887366,-3563424918.690142,-2879550211.574166,24130415469.000496,7154729322.57531,8846972574.686335,14487319854.167421,15045805204.75505,22143202162.532925,-11151419978.641106,7508025422.802925,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,33.12500000000001,-3563424927.6835704,-3563424909.759608,-3563424918.7978864,22863314617.534653,24892153482.812508,24892153489.537506,2.170426220893821,56.0
Pakistan,PAK,-3563424910.0093493,-3563424932.0718493,-3563424868.753099,-3563424863.6197658,-3563424869.3530993,-3563424852.715599,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416387.7396235,6363335559.37886,-3563424893.2917657,9433856870.314997,11780614209.932703,11780614209.394688,76.01541893666666,6.70185685725,69.31356207791667,-3563424915.502682,19065698250.993,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,12.0,-2879550211.5204253,2839415537.287686,2839415560.1589847,-3563424945.420229,-3563424944.1955605,-3563424944.4485664,25352810712.96977,25485332453.60962,25410192641.42048,18367051026.93546,18367051041.21986,18367051034.25464,18367051004.67267,18367051037.869335,18367051047.053196,18367051042.605602,8120556991.115447,-3563424898.7317963,-3563424860.2333627,-3563424896.56448,-3563424906.5676227,-2879550212.665524,24130415469.000496,30092640627.178326,11382638454.911077,13489530311.016535,2877841301.4729943,22143202162.532925,287914817718.9583,7508025420.034673,12184599037.080076,12184599034.567076,12184599035.726618,10487469577.132696,35.355375,-3563424918.2773685,-3563424903.981149,-3563424906.974533,22863314617.534653,24892153482.812508,24892153489.537506,2.1134647980507317,57.0
Tonga,TON,-3563424885.898932,-3563424893.434349,-3563424860.9510155,-3563424855.907265,-3563424857.2572656,-3563424851.457266,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839418479.0930295,2849476105.4452357,-3563424925.425474,15195990550.877838,21598831031.122128,21598831031.492153,74.87301830375002,10.230636769666667,64.64238153375,-3563424920.2008076,30544285253.666172,32255922497.50681,32255922467.409855,32255922467.58057,9291733361.921616,12928341250.26005,12928341249.689735,9291733486.554201,12805986176.538532,12805972596.89003,33968147167.149223,17538721337.450054,17579543361.874363,9.916666666666666,-1684531540.5752773,2839415539.094393,2839415680.288071,-3563424929.027619,-3563424934.531134,-3563424932.375261,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424893.5412025,-3563424851.21783,-3563424857.5112896,-3563424917.361559,-1869623657.0269544,24130415469.000496,7154729322.57531,14396255318.463303,18552865803.849148,7317391794.169072,22143202162.532925,8958601372.155441,7508025420.829173,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,23.20408333333333,-3563424903.6011796,-3563424899.855654,-3563424901.313551,22863314617.534653,24892153482.812508,24892153489.537506,1.9597504749824524,58.0
Haiti,HTI,-3563424942.073932,-3563424944.5364323,-3563424939.332266,-3563424908.4905987,14497427352.376417,-3563424875.4447656,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416538.623228,2995307022.540111,-3563424886.3983903,9433856870.314997,11780614209.932703,11780614209.394688,66.30661950416668,6.757800771041666,59.548818735,-3563424919.612474,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,6.0,-2879550211.8797746,2839415538.633688,2839415577.4589534,-3563424945.223528,-3563424944.5581584,-3563424944.8620014,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424897.7664485,-3563424885.6577125,-3563424918.585364,-2750398410.421551,-2879550211.6444287,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,20559174098.754307,7508025423.107509,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,48.73141666666666,-3563424930.555216,-3563424914.831661,-3563424922.003615,22863314617.534653,24892153482.812508,24892153489.537506,1.913760700827617,59.0
Marshall Islands,MHL,-3563424900.0072656,-3563424944.2801824,-3563424884.563515,-3563424863.644766,-3563424881.894766,-3563424856.6739326,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,2859241302.513445,-3563424871.2233486,9433856870.314997,11780614209.932703,11780614209.394688,70.03923630958336,4.542776532958334,65.49645977666665,-3563424918.6544323,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,16695075852.55187,12928341250.26005,12928341249.689735,16695075993.799643,12805986176.538532,12805972596.89003,33968147167.149223,11245320239.395823,11268139664.399355,10.5,-1808865250.6218662,2839415548.566669,2839415999.4471545,-3523901237.0164833,-3523901234.8152995,-3523901235.701012,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-2735262259.063221,-2735262261.814508,-2750398410.421551,-1869623656.7836714,24130415469.000496,7154729322.57531,19850419714.331955,21611532240.635666,7317391794.169072,22143202162.532925,-1680084766.9656541,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,74.06541666666666,-3523901184.063026,-3523901182.1994905,-3523901183.0114126,22863314617.534653,24892153482.812508,24892153489.537506,1.8331752006479678,60.0
Algeria,DZA,-3563424850.753099,-3563424852.430182,-3563424849.8114324,-3563424850.5697656,-3563424851.648932,-3563424850.032265,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839418184.3102536,8540613233.2121935,-3563424935.206682,9433856870.314997,11780614209.932703,11780614209.394688,53.441545559583325,7.886300704874998,45.555244854166666,-3563424923.681391,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,0.9637858341249999,38283513199.0221,38283513198.56892,38190.541666666664,38283530714.35711,38283522270.77378,33968147167.149223,2942913802.3481135,1780966706932.684,10.0,-2879550211.264561,2839415539.5519595,2839415719.7081876,-3563424943.802094,-3563424940.5628266,-3563424941.068571,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424931.778414,-3563424856.9338527,-3563424862.9723573,-3563424874.9048066,-2879550211.743405,24130415469.000496,7154729322.57531,7508025420.795097,34601792442.89897,-1217096648.7799823,22143202162.532925,568154916666.6666,7508025420.38709,5150089740.478618,4903608270.691173,5135914276.179225,18800532690.957447,68.20291666666667,-3563424877.3703704,-3563424881.883915,-3563424881.1362615,22863314617.534653,24892153482.812508,24892153489.537506,1.7880013545564801,61.0
United Arab Emirates,ARE,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,7508056435.479851,14643316703.098341,-3563424932.524557,9433856870.314997,11780614209.932703,11780614209.394688,20.700088758333333,1.0436295632083334,19.656459195,-3563424932.9522653,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,21057352306.71625,36581264676.70077,36581264678.211494,21057364107.963528,36581268356.7409,36581271202.324234,33968147167.149223,2561912990.654712,12755259811.398565,9.0,-2879550209.7450385,2839415538.0781245,2839416811.4560122,-3563424944.5241528,-3563424942.246605,-3563424942.5654507,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424849.867456,-3563424850.543657,-2750398410.421551,-2879550209.949846,24130415469.000496,7154729322.57531,18515241689.66872,14487319854.167421,7317391794.169072,22143202162.532925,36644300380.659035,7508025421.7450075,5150089740.478618,4903608270.691173,5135914276.179225,15618985542.81269,84.37208333333332,-3563424851.3717837,-3563424853.428194,-3563424853.151649,22863314617.534653,24892153482.812508,24892153489.537506,1.7316471447933575,62.0
Guinea,GIN,-3563424944.7364326,-3563424945.211432,-3563424944.0697656,-3563424916.898932,-1456533082.035989,-3563424875.019766,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416024.814545,2990887670.545528,-3563424814.125099,9452868499.012045,9452868504.840475,9452868493.394064,90.91029933875001,6.9672903335833345,83.94300900583335,-3563424908.8065987,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,6612856565.324501,6612856570.5271,6612856560.282718,6613273367.880351,6613105172.088684,6613024735.463684,33968147167.149223,2942913802.3481135,1780966706932.684,6.0,-2879550211.6306915,2839415538.7577586,2839415561.755312,-3563424942.84586,-3563424943.022227,-3563424942.9440594,18794307580.145046,18794307571.05524,18566309128.365253,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424891.5758815,-3563424888.6474805,-3563424927.0395894,-2750398410.421551,-2879550211.804428,24130415469.000496,7154729322.57531,7508025420.6810255,18527604387.507763,4718308940.534155,22143202162.532925,736143478893.5824,7508025420.302925,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,34.22620833333334,-3563424939.978004,-3563424929.4065247,-3563424934.285955,22863314617.534653,24892153482.812508,24892153489.537506,1.6765450755421993,63.0
Cayman Islands,CYM,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,17304734644.82691,-3563424919.058974,32506008768.478054,33948529911.978024,33948529912.508286,32.11004124083333,8.146704923666666,23.963336316249997,-3563424933.015599,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,-1457724594.2265415,19599092426.428513,19599092424.184574,-1457724412.8537261,19599092516.137173,19599092456.387173,33968147167.149223,2942913802.3481135,1780966706932.684,12.0,-2879550209.790756,2580611835.775346,2608402107.9847126,-3523901237.0164833,-3523901234.8152995,-3523901235.701012,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-2735262251.2136083,-2735262262.5064244,-2750398410.421551,-2879550209.620339,24130415469.000496,7154729322.57531,17162713110.205278,28762488848.960125,7317391794.169072,22143202162.532925,624846228706.2396,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,26516925186.920902,100.0,-3523901184.063026,-3523901182.1994905,-3523901183.0114126,22863314617.534653,24892153482.812508,24892153489.537506,1.6588169268339223,64.0
